Actual,Predicted,Residuals
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.39644739,0.3754709093969402,0.02097648060305979
0.573776037,0.564340183608707,0.009435853391293048
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.341873723,0.31773246156907436,0.024141261430925653
0.376127081,0.3734011037295905,0.002725977270409463
0.5371957,0.5574789734868071,-0.02028327348680703
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.633468228,0.5557386510475393,0.07772957695246074
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.417708345,0.41453176326196617,0.0031765817380338124
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.741347471,0.7168303485847892,0.024517122415210757
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.445307803,0.44715676915347835,-0.0018489661534783486
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.634849937,0.6228535520233045,0.011996384976695529
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.460873281,0.4759314479748811,-0.015058166974881104
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.491059856,0.4962032906325965,-0.0051434346325964775
0.633556555,0.6279262851910132,0.005630269808986732
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.514985128,0.4579513408853215,0.057033787114678436
0.475656217,0.44302084150137133,0.03263537549862866
0.435854408,0.431364888504257,0.004489519495743
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.691297109,0.6378175777101033,0.05347953128989669
0.448818985,0.4476079435042386,0.0012110414957614002
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.543584047,0.4294414341681095,0.11414261283189048
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.449719684,0.4521429364839001,-0.0024232524839000735
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.403565707,0.4121003209024455,-0.008534613902445531
0.424925576,0.39149071602514274,0.03343485997485729
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.421414706,0.43548886657914154,-0.01407416057914157
0.507283325,0.5181681679702105,-0.010884842970210529
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,0.20662779126017933,-0.20662779126017933
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.450935593,0.4083204281253345,0.042615164874665545
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.505526481,0.49428532013897514,0.011241160861024835
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.626205106,0.5974763379401071,0.028728768059892884
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.580293163,0.6070752969241661,-0.026782133924166063
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.436242255,0.4144847693194549,0.02175748568054514
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.458925469,0.46033631262291724,-0.0014108436229172683
0.512332494,0.4922938169988366,0.020038677001163407
0.542493913,0.48002340062587845,0.0624705123741216
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.48746412,0.5198880812827812,-0.03242396128278119
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.38909251,0.39712737007357735,-0.008034860073577343
0.516231318,0.49407663520179945,0.022154682798200542
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.737677529725745e-05,-6.737677529725745e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.726815512,0.671693927198453,0.05512158480154705
0.548580918,0.5517765405528556,-0.003195622552855659
0.0,6.729500116900043e-05,-6.729500116900043e-05
0.0,6.040684752926241e-05,-6.040684752926241e-05
0.0,6.729500116900043e-05,-6.729500116900043e-05
